UserTags,TimeStamps,Tweets,Replies,Retweets,Likes
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 27",2025-01-27T03:00:40.000Z,"Target lit up their HQ for George Floyd, Ahmaud Arbery, and Breonna Taylor in 2020 and made promises in their names. Promises to fight for equity. Promises to invest in Black lives.

Now, in 2025, they’re cutting every program they said would honor those lives. 

This is proof",86,61,118
"Akilah Hughes
@AkilahObviously
·
Jan 26",2025-01-26T18:26:11.000Z,"DEI only existed because white people were racist. They had the opportunity to hire based on merit, and they hired their unqualified white friends every time. 

DEI isn’t racism. It’s a solution to historical racism.",8.2K,25K,173K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 26",2025-01-26T04:26:52.000Z,"Because she’s part of an administration that pretends to be colorblind, which makes it hard to celebrate important achievements like this.",86,44,357
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 24",2025-01-24T01:56:46.000Z,"A quick reminder for anyone feeling emboldened to clutter our page with foolishness: at the moment, the “B” in BLM stands for “Block.” We won’t hesitate to block you and your nonsense.",151,22,103
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 24",2025-01-24T01:44:41.000Z,"we’re not here to beg for a seat at a table that was never built for us. we’re here to build our own table, and feed our people with real justice and real liberation.",819,116,331
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 23",2025-01-23T00:36:44.000Z,"Looks like this is affecting multiple progressive organizations, including us.",50,55,264
"MASTER STUDENT
@MUSICANDBUILDS
·
Jan 22",2025-01-22T00:11:24.000Z,"ADL made 21 savage apologize
Made Lebron apologize
Made Michael Jackson apologize
Made Kanye apologize
Made kyrie apologize 
Made Desean Jackson apologize
Made Whoopi Goldberg apologize
They Went after Candace Owens
Said she was anti Semite of the year
 etc

But when Elon Musk",756,8.3K,49K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 22",2025-01-22T06:16:36.000Z,"When the police start throwing shade at both parties, it’s not a sign of balance, it’s a sign they’re losing their grip. 

The days of untouchable reverence for law enforcement are fading, and they know it. Power doesn’t question both sides unless it’s on the ropes.",21,15,58
"Black Lives Matter (BLM)
@Blklivesmatter
·
Jan 18",2025-01-18T00:04:58.000Z,"From the ashes of Black neighborhoods in California to the shattered streets of Gaza, a powerful rebuilding effort is underway—led by resilient people who refuse to let destruction, be it by flames, bullets, or bombs, have the final say.",156,21,41
"Scott Hechinger
@ScottHech
·
Dec 26, 2024",2024-12-26T16:09:40.000Z,"No party more gutless than the Dems. No politician more gutless than NY 
@GovKathyHochul
. We all too often give our Dem leaders a pass in blue states while attacking GOP in red. 

NY Gov just *vetoed* bills that would’ve restored voting rights & protected reproductive rights.",55,122,296
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 27, 2024",2024-12-27T17:01:47.000Z,"Deputy Joseph Benza pleaded guilty to brutally assaulting Emmett Brock, a transgender man, during a traffic stop. No one should face this kind of violence.",63,27,55
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 27, 2024",2024-12-27T04:57:03.000Z,Correct. The answer is simple: abolish the agency. Now do you see why we say abolish the police?,60,14,115
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 27, 2024",2024-12-27T04:48:23.000Z,"Watching MAGA Twitter erupt over immigration, which has long enriched America’s ‘diversity’ and ‘inclusion,’ has truly been a sight to behold.",81,27,100
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 24, 2024",2024-12-24T03:07:33.000Z,Power to the people!,78,38,123
"Marc Delucchi
@maddelucchi
·
Dec 23, 2024",2024-12-22T22:42:56.000Z,"Just to be clear, the NYPD's massive presence on the subway didn't:
1. prevent a woman from being set on fire. 
2. identify the person who did it. 
3. didn't stop the fire. (note that video shows an NYPD officer walking by the woman while she is still moving)",93,7.5K,35K
"Equal Justice Initiative
@eji_org
·
Dec 23, 2024",2024-12-23T13:10:33.000Z,This morning President Joe Biden commuted the death sentences of 37 of the 40 people facing execution by the federal government. This historic commutation marks what could become a turning point in the history of capital punishment in the United States.,24,110,247
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 20, 2024",2024-12-19T22:41:21.000Z,This is copaganda at its peak.,25,23,132
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 18, 2024",2024-12-18T02:04:39.000Z,The Lockdown That Never Lifted,29,9,29
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 19, 2024",2024-12-19T02:08:06.000Z,"This story about Marcus is fictional. But the system it exposes is already here.

Drones, surveillance, and autonomous policing raise real questions:
-Who’s being watched?
-Who decides how this tech is deployed?
-How do we stop it from becoming a tool of control and harm?
-Who",5,8,13
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 18, 2024",2024-12-18T02:50:17.000Z,https://x.com/blklivesmatter/status/1869202085285388299?s=46…,63,8,18
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 18, 2024",2024-12-18T02:09:48.000Z,https://x.com/blklivesmatter/status/1869202085285388299?s=46…,29,4,10
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 18, 2024",2024-12-18T02:05:25.000Z,"A week later, a neighbor got fined for stopping to talk to someone outside her building. Another person got flagged for “loitering” after waiting too long at a bus stop.

The drones weren’t just watching anymore. They were deciding.

Soon, the sky felt different. Where it had",24,1,2
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 18, 2024",2024-12-18T02:05:26.000Z,"The news kept repeating the same line: “This is temporary. It’s for your safety.” But Marcus noticed the drones stayed longer in certain neighborhoods—his neighborhood—while other parts of the city barely saw them at all.

“They’re just being careful,” his friend told him. Marcus",3,1,2
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 13, 2024",2024-12-12T22:17:11.000Z,"Our first post with a community note. 

FYI, when someone is celebrated as a hero for taking a life, that recognition is a reward. It sends a clear message: some lives are valued, while others are disposable.

We refuse to accept a system that rewards harm and erases humanity.",998,98,297
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 13, 2024",2024-12-12T22:05:48.000Z,"If only the same care was taken for Black people killed by police. Instead, their images are exploited and dehumanized. 

For us, it’s always exposure.",162,11,55
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 11, 2024",2024-12-11T05:22:28.000Z,#BlackLivesMatter,297,54,95
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 11, 2024",2024-12-11T00:10:30.000Z,Always remember: the police have a well-documented record of dishonesty and manipulation.,1.6K,156,206
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 10, 2024",2024-12-10T15:33:31.000Z,"We never left.

We’ve always been here, working in ways that go far beyond protests—creating change in policy, building and healing communities, shaping Black futures and culture, and uplifting Black joy every single day.

What have you done in the last four years other than",4K,341,457
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 10, 2024",2024-12-09T23:28:32.000Z,"We need a world where empathy replaces fear, where compassion replaces violence, and where no one’s humanity is up for debate.

Jordan Neely deserved more. His life, like all Black lives, held infinite worth. We honor him by refusing to accept a system that turns away from those",8.9K,923,711
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 8, 2024",2024-12-08T02:58:35.000Z,"The Governor of New York, Kathy Hochul, apparently believes Black children don’t even know the word “computer.”

One can only imagine her views on the entire continent of Africa.",421,19,84
"Black Lives Matter (BLM)
@Blklivesmatter
·
Dec 8, 2024",2024-12-08T01:46:04.000Z,"Not true. But hey, thanks for the inspiration…adding it to Monday’s team meeting agenda. 

Funny how misinformation can spark great ideas!",947,104,332
